,L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution,log10 Process TTS,log2 Process TTS,N
85,11,0.8,3,3.0,0.102503,0.493401,0.104083,0.013297,0.019153,0.014872,13,-1.7177631913348972,-5.706285805658771,97
2273,11,0.8,42,3.0,0.153647,0.221527,0.155651,0.012722,0.019172,0.014155,13,-1.7173325796802497,-5.704855344705211,97
360,7,0.8,47,3.0,0.011499,0.013454,0.012786,0.011643,0.019222,0.012866,6,-1.7162014270850068,-5.701097737119469,39
30,7,0.8,30,3.0,0.019062,0.012481,0.020424,0.014405,0.019257,0.016006,6,-1.7154113695960596,-5.698473222950359,39
112,11,0.8,30,3.0,0.01414,0.01973,0.015716,0.012378,0.019258,0.013904,14,-1.715388817630228,-5.698398306941469,97
68,9,0.8,27,3.0,0.016571,0.024382,0.017979,0.017941,0.019297,0.020472,9,-1.7145102031537067,-5.695479612827338,65
358,7,0.8,45,3.0,0.01178,0.014425,0.013598,0.012374,0.019315,0.013753,6,-1.714105287519161,-5.69413451220488,39
363,7,0.8,50,3.0,0.009107,0.013312,0.010386,0.011062,0.019318,0.012289,6,-1.7140378382686068,-5.693910450644486,39
36,7,0.8,36,3.0,0.010268,0.01277,0.011554,0.016017,0.019333,0.01715,6,-1.7137007490571712,-5.692790664522534,39
1360,9,0.8,88,3.0,0.013577,0.016658,0.015007,0.012732,0.01934,0.014,9,-1.713543530253017,-5.692268394959971,65
2320,11,0.8,89,3.0,0.040408,0.08562,0.042032,0.01308,0.019349,0.014534,13,-1.7133414753843137,-5.691597183214916,97
2318,11,0.8,87,3.0,0.079595,0.140907,0.081192,0.013708,0.0194,0.015196,13,-1.712198270069774,-5.687799537362322,97
400,7,0.8,87,3.0,0.009402,0.012323,0.010945,0.013004,0.019402,0.01421,6,-1.7121534997504824,-5.68765081358085,39
1321,9,0.8,49,3.0,0.009163,0.014125,0.010597,0.011071,0.019404,0.012411,9,-1.712108734045974,-5.687502105129356,65
2293,11,0.8,62,3.0,0.130181,0.216275,0.131831,0.013604,0.019424,0.015045,13,-1.7116613306048365,-5.686015863068492,97
2295,11,0.8,64,3.0,0.147995,0.21085,0.149613,0.012341,0.019425,0.013816,13,-1.711638972527048,-5.68594159114174,97
93,11,0.8,11,3.0,0.087152,0.382274,0.090952,0.01262,0.019439,0.014244,13,-1.7113260802354855,-5.684902185447724,97
53,9,0.8,12,3.0,0.015695,0.015681,0.017091,0.011876,0.019443,0.013173,9,-1.7112367238271866,-5.684605349884538,65
6,7,0.8,6,3.0,0.011045,0.014256,0.012653,0.024079,0.019447,0.025646,6,-1.7111473858002522,-5.684308575382922,39
4,7,0.8,4,3.0,0.009318,0.012087,0.010593,0.011703,0.01945,0.012836,6,-1.7110803943382735,-5.684086034563258,39
2294,11,0.8,63,3.0,0.131525,0.188366,0.13311,0.014361,0.019491,0.015898,13,-1.710165878514969,-5.681048078756603,97
84,11,0.8,2,3.0,0.062828,0.257008,0.064739,0.014006,0.019566,0.015638,13,-1.7084979508103995,-5.675507342854552,97
44,9,0.8,3,3.0,0.011528,0.013517,0.012943,0.014491,0.01957,0.016513,9,-1.708409174341999,-5.675212433810008,65
1319,9,0.8,47,3.0,0.009932,0.013977,0.01134,0.01169,0.01959,0.012983,9,-1.7079655640052636,-5.673738792169225,65
63,9,0.8,22,3.0,0.010683,0.014467,0.012092,0.016946,0.019653,0.018268,9,-1.7065711458483979,-5.669106635317911,65
96,11,0.8,14,3.0,0.069744,0.281478,0.074049,0.013556,0.019669,0.015012,13,-1.7062177196699766,-5.667932578966345,97
52,9,0.8,11,3.0,0.014669,0.016376,0.016122,0.011757,0.019676,0.013085,9,-1.7060631861127062,-5.667419229600846,65
1362,9,0.8,90,3.0,0.010225,0.014664,0.011697,0.012214,0.019701,0.013579,9,-1.7055117289927435,-5.665587328700916,65
12,7,0.8,12,3.0,0.019394,0.023174,0.021891,0.012675,0.019706,0.013837,6,-1.7054015215462912,-5.6652212274882805,39
26,7,0.8,26,3.0,0.008072,0.012574,0.009461,0.011262,0.019722,0.012493,6,-1.705049045534732,-5.664050327522708,39
1323,9,0.8,51,3.0,0.00985,0.014409,0.01126,0.019474,0.019727,0.020808,9,-1.704938955422377,-5.663684616085507,65
389,7,0.8,76,3.0,0.008828,0.01374,0.010134,0.011843,0.019769,0.012995,6,-1.7040152985905235,-5.660616294505737,39
42,9,0.8,1,3.0,0.023627,0.086907,0.025048,0.016381,0.019792,0.018137,9,-1.7035103177149546,-5.6589387843478045,65
368,7,0.8,55,3.0,0.008463,0.012258,0.009824,0.014075,0.019815,0.015378,6,-1.7030059233297916,-5.657263222468828,39
354,7,0.8,41,3.0,0.052469,0.022994,0.054361,0.016154,0.01988,0.01795,6,-1.7015836199387055,-5.652538432874525,39
2292,11,0.8,61,3.0,0.074345,0.147174,0.076013,0.018346,0.019923,0.02006,13,-1.7006452650414934,-5.6494212853785015,97
1372,9,0.8,100,3.0,0.012775,0.014825,0.01459,0.013065,0.019958,0.014567,9,-1.6998829817101304,-5.646889034963783,65
111,11,0.8,29,3.0,0.07549,0.373863,0.077158,0.016386,0.020064,0.017899,13,-1.6975824808493776,-5.639246936522135,97
60,9,0.8,19,3.0,0.009132,0.014003,0.010507,0.011895,0.020263,0.013323,9,-1.6932962555703592,-5.625008404346747,65
106,11,0.8,24,3.0,0.038554,0.088433,0.040207,0.014661,0.020286,0.01629,13,-1.6928035788505875,-5.62337176770964,97
24,7,0.8,24,3.0,0.02712,0.013801,0.028472,0.024216,0.020317,0.025502,6,-1.6921404194015335,-5.621168799704439,39
1352,9,0.8,80,3.0,0.010599,0.014998,0.01216,0.01345,0.020318,0.014843,9,-1.6921190440117468,-5.621097792196567,65
75,9,0.8,34,3.0,0.014747,0.018544,0.01643,0.014478,0.020371,0.016214,9,-1.6909876512245732,-5.617339386710501,65
43,9,0.8,2,3.0,0.011683,0.014307,0.013089,0.012886,0.020376,0.014189,9,-1.6908810680444413,-5.6169853250499795,65
1341,9,0.8,69,3.0,0.014782,0.019124,0.016233,0.014951,0.020436,0.016238,9,-1.6896041059897742,-5.612743348924475,65
102,11,0.8,20,3.0,0.090427,0.43222,0.092066,0.013625,0.020451,0.015087,13,-1.6892854512818813,-5.611684800897758,97
2323,11,0.8,92,3.0,0.177427,0.220023,0.179026,0.01494,0.0205,0.016428,13,-1.6882461389442458,-5.608232280044003,97
81,9,0.8,40,3.0,0.010344,0.013939,0.012023,0.01328,0.020555,0.014782,9,-1.6870825188836314,-5.604366817872874,65
90,11,0.8,8,3.0,0.215309,0.633516,0.21721,0.013948,0.02056,0.016613,13,-1.6869768896767618,-5.604015925242933,97
82,11,0.8,0,3.0,0.093232,0.392901,0.095152,0.017517,0.020588,0.019708,13,-1.6863858404218681,-5.6020525021176395,97
2285,11,0.8,54,3.0,0.013903,0.02311,0.015533,0.012919,0.020676,0.01439,14,-1.6845334765043467,-5.59589908237807,97
99,11,0.8,17,3.0,0.093685,0.362634,0.095317,0.013298,0.02069,0.014851,13,-1.6842395093342655,-5.594922544576802,97
101,11,0.8,19,3.0,0.088872,0.327901,0.090516,0.013827,0.020724,0.015707,13,-1.6835264163849164,-5.5925537010740936,97
391,7,0.8,78,3.0,0.007878,0.011669,0.009188,0.014076,0.020761,0.01526,6,-1.6827517315546803,-5.5899802537718495,39
51,9,0.8,10,3.0,0.012394,0.014611,0.013899,0.018051,0.020837,0.019531,9,-1.681164808272336,-5.584708608735799,65
72,9,0.8,31,3.0,0.015981,0.019968,0.0174,0.012548,0.020856,0.014008,9,-1.6807689818397276,-5.5833937017886175,65
1358,9,0.8,86,3.0,0.014858,0.01692,0.016351,0.014066,0.020878,0.015683,9,-1.680311106750501,-5.581872673665767,65
76,9,0.8,35,3.0,0.01052,0.014509,0.012388,0.01558,0.020887,0.017146,9,-1.6801239332608504,-5.581250896791879,65
34,7,0.8,34,3.0,0.014471,0.01695,0.016013,0.015837,0.021025,0.017158,6,-1.6772639955300503,-5.571750389294305,39
362,7,0.8,49,3.0,0.00841,0.01202,0.009702,0.015206,0.021039,0.016358,6,-1.676974906381555,-5.570790055929992,39
21,7,0.8,21,3.0,0.009483,0.013148,0.011044,0.013629,0.021128,0.015008,6,-1.6751416118011324,-5.564699983157081,39
121,11,0.8,39,3.0,0.137536,0.5878,0.142587,0.01695,0.021138,0.019324,13,-1.6749361064351138,-5.5640173091080545,97
399,7,0.8,86,3.0,0.008101,0.01233,0.009388,0.015387,0.021173,0.016552,6,-1.6742176024841948,-5.561630490647208,39
108,11,0.8,26,3.0,0.109062,0.497406,0.110698,0.014136,0.02124,0.015604,13,-1.6728454875905685,-5.5570724236326585,97
1322,9,0.8,50,3.0,0.009726,0.014175,0.011199,0.019681,0.021372,0.02105,9,-1.6701548344891317,-5.548134267501399,65
1324,9,0.8,52,3.0,0.015338,0.020611,0.016937,0.017213,0.021393,0.019864,9,-1.6697283088324948,-5.546717379939427,65
1368,9,0.8,96,3.0,0.016227,0.018244,0.018341,0.047004,0.021438,0.0605,9,-1.6688157334139164,-5.543685870017748,65
393,7,0.8,80,3.0,0.016189,0.013284,0.017635,0.016857,0.021461,0.018052,6,-1.6683500454472568,-5.542138888077851,39
1370,9,0.8,98,3.0,0.012059,0.01447,0.013659,0.014266,0.021474,0.015679,9,-1.6680870512263521,-5.541265240186633,65
1364,9,0.8,92,3.0,0.009931,0.01439,0.011329,0.015803,0.021529,0.017065,9,-1.6669761422419107,-5.537574880420355,65
2299,11,0.8,68,3.0,0.145392,0.191941,0.146961,0.014253,0.02155,0.0158,13,-1.6665527255032497,-5.536168320460352,97
1366,9,0.8,94,3.0,0.011552,0.015991,0.013052,0.012432,0.021578,0.013852,9,-1.665988811238651,-5.534295037821673,65
1346,9,0.8,74,3.0,0.010562,0.015394,0.012022,0.014564,0.021595,0.015912,9,-1.6656467916164828,-5.53315887322979,65
65,9,0.8,24,3.0,0.012606,0.015372,0.014663,0.015346,0.021615,0.016676,9,-1.6652447601303295,-5.531823353540908,65
78,9,0.8,37,3.0,0.018044,0.016436,0.019794,0.01402,0.021709,0.015403,9,-1.6633601813583108,-5.525562918371111,65
1317,9,0.8,45,3.0,0.010268,0.013496,0.011691,0.015479,0.021874,0.016776,9,-1.6600717922214863,-5.514639126110571,65
27,7,0.8,27,3.0,0.014326,0.013329,0.015924,0.017807,0.021958,0.018978,6,-1.6584072192547072,-5.509109534406237,39
2300,11,0.8,69,3.0,0.105013,0.167074,0.106635,0.016535,0.022009,0.018026,13,-1.657399689584228,-5.50576259328744,97
1314,9,0.8,42,3.0,0.009689,0.014137,0.011048,0.014353,0.022032,0.015624,9,-1.6569460770871516,-5.50425572518921,65
384,7,0.8,71,3.0,0.008595,0.012343,0.010043,0.016705,0.022142,0.018047,6,-1.6547831535686552,-5.497070648786024,39
73,9,0.8,32,3.0,0.010563,0.01459,0.012091,0.013244,0.022167,0.014642,9,-1.654293078721572,-5.4954426553829006,65
114,11,0.8,32,3.0,0.131845,0.373588,0.133546,0.017327,0.022229,0.018877,13,-1.653080074154379,-5.491413141431916,97
2311,11,0.8,80,3.0,0.123891,0.240257,0.125633,0.019144,0.022239,0.020871,13,-1.6528847451585957,-5.490764272553077,97
58,9,0.8,17,3.0,0.016206,0.015515,0.017677,0.016381,0.022322,0.01771,9,-1.6512668962017145,-5.485389894649929,65
1359,9,0.8,87,3.0,0.010307,0.014113,0.011711,0.013943,0.022323,0.015241,9,-1.651247440742784,-5.485325265014309,65
5,7,0.8,5,3.0,0.019229,0.015355,0.020548,0.016648,0.022399,0.018174,6,-1.6497713702451349,-5.480421864958134,39
8,7,0.8,8,3.0,0.010331,0.0122,0.011687,0.017875,0.02262,0.01952,6,-1.6455073994105636,-5.466257260446991,39
2331,11,0.8,100,3.0,0.014517,0.024369,0.016162,0.013426,0.022659,0.014917,14,-1.64475926058317,-5.463771997057397,97
